0.005,75.9
0.01,57.5
0.015,57.1
0.02,56.9
0.025,57.5
0.03,56.9
0.035,56.5
0.04,56.9
0.045,56.7
0.05,57.1
0.055,56.6
0.06,56.9
0.065,56.8
0.07,56.9
0.075,56.7
0.08,56.8
0.085,56.7
0.09,56.7
0.095,56.8
0.1,56.7
0.105,56.6
0.11,56.4
0.115,56.6
0.12,56.8
0.125,56.4
0.13,56.9
0.135,56.4
0.14,55.8
0.145,56.0
0.15,56.3
0.155,55.7
0.16,56.1
0.165,55.8
0.17,56.1
0.175,56.2
0.18,58.9
0.185,58.5
0.19,56.0
0.195,55.8
0.2,55.4
0.205,56.1
0.21,55.8
0.215,56.0
0.22,56.0
0.225,55.9
0.23,55.7
0.235,55.5
0.24,55.4
0.245,55.9
0.25,55.6
